Mon Lunch|||||||||||||||||||||||||
|Chicken Salad |1|298.7|1247|42.2|12|0|3.1|5.2|7.9|5.9|1.8|134.3|802|50.3|1.8|||||||||
|Cheese Salad |1|365.7|1528|21.5|28.6|17.3|7.5|1|5.7|6|1.8|592.3|397|624.3|23.8|||||||||
|||||||||||||||||||||||||
| Mashed Potatoes |118|139|580|2.0|7.0|3.3|2.7|0.4|1.1|17.0|1.3|186.0|377.0|18.0|0.4|||||||||
| Boiled Rice |110|126|532|2.0|0.3|0.0|0.0|0.0|0.0|30.0|0.2|1.0|39.0|1.0|0.2|||||||||
| Peas |120|83|349|7.2|1.1|0.2|0.1|0.6|3.2|11.6|6.1|2.4|180.0|42.0|1.9|||||||||
| Sweetcorn |120|110|465|4.0|2.1|0.2|0.4|0.6|2.2|18.6|1.7|trace|288.0|4.0|0.7|||||||||
|||||||||||||||||||||||||
| Piece of Fresh Fruit |100|37-95|154-397|0.4-1.2|0.1-0.3|0.1|0.0|0.1|8.5-20.9|8.5-23.2|1.1-1.8|1.0-5.0|120-400|4.0-47|0.1-0.3|||||||||
| Fruit in Natural Juice|150|44|183|0.6|0.0|0.0|0.0|0.0|10.8|10.8|1.5|4.5|143.0|13.5|0.6|||||||||
| Fruit Yoghurt |110|78|326|3.3|0.2|0.0|0.0|0.0|10.2|10.2|0.0|49.5|211.2|n/a|n/a|||||||||
| Cheese and Biscuits |1|207|864|10.2|14.5|7.6|3.3|0.4|0|9.6|0.3|338|43|274|0.3|||||||||
| Vanilla Ice Cream |110|176|738|2.8|7.8|4.9|n/a|n/a|8.0|23.5|0.0|44.0|n/a|140.0|0.1|||||||||
| Rhubarb Crumble & Custard |289|450|1896|7.0|15.0|16.9|6.7|1.4|54.7|74.0|3.2|157.0|399.0|175.0|1.3|||||||||
| Plum Custard Dessert |210|95|397|2.5|1.2|0.8|0.4|0.0|17.0|19.9|1.3|47.0|287.0|90.0|1.2|||||||||
|||||||||||||||||||||||||
Tues Lunch|||||||||||||||||||||||||
|  Scotch Broth Soup |240|332|1386|11.7|7.7|4|1|16|4.2|56|6|451|213|134|2.9|||||||||
|  Fruit Juice |160|75|314|0.2-0.8|0.2|0.0|0.0|0.0|16.2-17.8|16.2-17.8|0.2|16.0|240.0|16.0|0.3|||||||||
|||||||||||||||||||||||||
|  Bread roll and Butter/Margarine|1|205|864|4.7|9.3|5.5|2.3|0.6|1.4|27|1.2|389|89|90|0.8|||||||||
|||||||||||||||||||||||||
| Shepherds Pie |303|304|1274|21.0|13.0|6.4|4.7|1.3|5.0|25.0|2.4|380.0|760.0|120.0|2.3|||||||||
| Vegetable Chilli with Jacket Potato |1|363|1515|16.4|19.6|9.9|5.4|2.7|3.4|31.7|2.8|658.6|266.8|398.0|1.7|||||||||
|||||||||||||||||||||||||
| Cheese & Tomato Sandwich |1|362.5|1515|16.35|19.55|9.9|5.4|2.7|3.4|31.7|2.8|658.6|266.8|398|1.7|||||||||
| Chicken Salad (mayonnaise)|1|314|1314|30.3|8.4|1.7|2.3|3.8|2.5|30.8|2.4|891.5|407.0|107.9|2.5|||||||||
| Plain Ham Sandwich |1|233|975|13.5|6.8|1.6|2.2|2.5|2.6|30.9|2.4|846.0|272.8|102.0|1.7|||||||||
